system,query,rank,gate_global_weight,sample_id,source_title,image_path,center_lon,center_lat,coarse_rank,relevance,sol_confidence,sol_visible_evidence,relevant,terra_confidence,terra_visible_evidence
gated_highres,container ship,1,0.5933382511138916,n9355893940_US_21,An aerial image. It shows: Intermodal railway yard.,/data/tessera_dataset/image-emb-text/images5/n9355893940_US_21.jpg,-87.69328021894763,41.75327271785767,6,1,0.98,"Numerous freight containers and cargo-handling equipment are visible in a rail or intermodal yard, but no ship or water is present.",True,0.98,Overhead view of a container terminal with many colored shipping containers and large container-handling gantry cranes.
gated_highres,container ship,2,0.5933382511138916,w233568601_US_21,An aerial image. It shows: Railway yard used for servicing trains.,/data/tessera_dataset/image-emb-text/images5/w233568601_US_21.jpg,-87.69867279091667,41.75070830926916,15,1,0.96,"Freight or rail yard with tracks, trailers, and a few container-like rectangular units; no ship or water visible.",True,0.95,"Port-side paved yard visibly contains rows of shipping containers, rail tracks, container-handling equipment, and freight vehicles."
gated_highres,container ship,3,0.5933382511138916,w33871386_US_21,An aerial image. It shows: Railway yard used for servicing trains.,/data/tessera_dataset/image-emb-text/images5/w33871386_US_21.jpg,-87.69855823624329,41.75064294276943,72,1,0.88,"An industrial freight yard with rail tracks and several rectangular container-like objects is visible, but there is no water or container ship.",True,0.95,"Container-terminal scene with visible container rows, rail tracks, paved loading areas, and cargo-handling structures."
gated_highres,container ship,4,0.5933382511138916,a980515452_CH_20,An aerial image. It shows: Industrial area with warehouse.,/data/tessera_dataset/image-emb-text/images2/a980515452_CH_20.jpg,7.302533271367555,46.21637289222828,69,2,0.96,Industrial freight yard containing many clearly visible rectangular shipping containers and stacked materials; no ship or water visible.,True,0.91,"Industrial intermodal yard visibly contains numerous rectangular shipping containers, rail lines, and a large crane."
gated_highres,container ship,5,0.5933382511138916,n11077773648_US_20,An aerial image. It shows: Railway yard.,/data/tessera_dataset/image-emb-text/images4/n11077773648_US_20.jpg,-90.21978906997266,38.71668189562348,93,1,0.97,"Land-based yard containing scattered rectangular cargo containers or trailers, but no water or ship is visible.",True,0.86,Open cargo yard with multiple visibly colored shipping containers arranged along the paved area.
gated_highres,container ship,6,0.5933382511138916,n356540307_US_19,An aerial image. It shows: Dock located along the waterway.,/data/tessera_dataset/image-emb-text/images5/n356540307_US_19.jpg,-122.38947022185364,47.2766173481504,28,1,0.97,Industrial floating platform or barge beside containment booms; no visible container stacks and not a container ship.,False,0.78,"Visible pixels show water, dock structures, barriers, and an industrial waterfront facility, but no identifiable container ship or container storage area."
gated_highres,container ship,7,0.5933382511138916,w158465101_US_19,An aerial image. It shows: Railway spur service.,/data/tessera_dataset/image-emb-text/images7/w158465101_US_19.jpg,-122.32844554773992,47.55801435666032,33,1,0.94,"An industrial freight yard contains trucks, trailers, and stacks of rectangular cargo units, but no water or ship is visible.",True,0.84,Intermodal freight yard visibly has rows of container-like rectangular cargo units beside rail tracks and loading lanes.
gated_highres,container ship,8,0.5933382511138916,n3786395144_US_19,An aerial image. It shows: Railway level crossing.,/data/tessera_dataset/image-emb-text/images7/n3786395144_US_19.jpg,-122.32820860432209,47.55760259401075,17,1,0.97,"Paved freight terminal area with trucks, trailers, and rectangular cargo units; no water or container ship visible.",True,0.84,Rail-connected cargo terminal with visible stacked rectangular container-like units and freight handling areas.
gated_highres,container ship,9,0.5933382511138916,w375251272_US_19,An aerial image. It shows: Railway yard in service.,/data/tessera_dataset/image-emb-text/images6/w375251272_US_19.jpg,-122.32784125639311,47.55742456443124,96,1,0.96,Industrial paved yard with trucks or trailers and a few container-like objects; no ship or water visible.,True,0.8,Industrial rail yard includes a line of rectangular container-like cargo units and adjacent freight vehicles.
gated_highres,container ship,10,0.5933382511138916,w358724695_US_21,An aerial image. It shows: Railway yard in service.,/data/tessera_dataset/image-emb-text/images5/w358724695_US_21.jpg,-90.37671603998196,40.92069757684536,63,1,0.91,Industrial transport yard with rows of railcars or trailers; possible freight context but no container ship visible.,True,0.73,"Overhead industrial freight yard with rail tracks, long cargo units, and visible loading equipment consistent with container handling."
