system,query,rank,gate_global_weight,sample_id,source_title,image_path,center_lon,center_lat
gated_highres,ship,1,0.5920504927635193,w8367362_FI_20,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images6/w8367362_FI_20.jpg,24.972219974619247,60.17586929007448
gated_highres,ship,2,0.5920504927635193,w401969895_CH_18,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images4/w401969895_CH_18.jpg,8.771849719185703,46.15008625295961
gated_highres,ship,3,0.5920504927635193,n2691981237_US_19,An aerial image. It shows: Silo.,/data/tessera_dataset/image-emb-text/images4/n2691981237_US_19.jpg,-102.25830879662313,38.82723915549638
gated_highres,ship,4,0.5920504927635193,n431506525_CH_21,An aerial image. It shows: Car wash facility.,/data/tessera_dataset/image-emb-text/images2/n431506525_CH_21.jpg,8.183579383834996,47.61470946900755
gated_highres,ship,5,0.5920504927635193,w404795002_US_19,An aerial image. It shows: Breakwater structure.,/data/tessera_dataset/image-emb-text/images7/w404795002_US_19.jpg,-123.0146936696165,48.53996177886465
gated_highres,ship,6,0.5920504927635193,w871973314_US_17,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images3/w871973314_US_17.jpg,-122.3685096,47.585259
gated_highres,ship,7,0.5920504927635193,n9293619700_US_22,An aerial image. It shows: Parking space.,/data/tessera_dataset/image-emb-text/images5/n9293619700_US_22.jpg,-87.2737128,30.3877509
gated_highres,ship,8,0.5920504927635193,w533240511_US_17,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images6/w533240511_US_17.jpg,-81.07846818408967,32.07829643954712
gated_highres,ship,9,0.5920504927635193,w238131171_US_19,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images5/w238131171_US_19.jpg,-122.3582331,47.5818574
gated_highres,ship,10,0.5920504927635193,a705214906_US_19,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images6/a705214906_US_19.jpg,-75.13919569953737,39.95036356567488
gated_highres,ship,11,0.5920504927635193,w379488807_US_20,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images7/w379488807_US_20.jpg,-83.5621002,42.2045051
gated_highres,ship,12,0.5920504927635193,w628736321_US_21,An aerial image. It shows: Lock gate along waterway.,/data/tessera_dataset/image-emb-text/images7/w628736321_US_21.jpg,-90.14880115134403,38.86729288369952
gated_highres,ship,13,0.5920504927635193,w80513453_US_21,An aerial image. It shows: Floating barrier on the waterway.,/data/tessera_dataset/image-emb-text/images3/w80513453_US_21.jpg,-85.08465700508145,35.231109578427784
gated_highres,ship,14,0.5920504927635193,a779832897_US_19,An aerial image. It shows: Building identified as silo.,/data/tessera_dataset/image-emb-text/images5/a779832897_US_19.jpg,-93.33232107304943,44.784057054043686
gated_highres,ship,15,0.5920504927635193,w824137667_CH_20,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images6/w824137667_CH_20.jpg,6.6932394,47.0644382
gated_highres,ship,16,0.5920504927635193,n10772530882_US_21,An aerial image. It shows: Healthcare clinic is depicted in the image.,/data/tessera_dataset/image-emb-text/images6/n10772530882_US_21.jpg,-77.69559171961725,39.633378917048496
gated_highres,ship,17,0.5920504927635193,a1074017905_CH_20,An aerial image. It shows: Asphalt street-side parking area.,/data/tessera_dataset/image-emb-text/images4/a1074017905_CH_20.jpg,6.943951735385047,46.27462045383878
