system,query,rank,gate_global_weight,sample_id,source_title,image_path,center_lon,center_lat
gated_highres,skatepark,1,0.553607702255249,a507429536_US_19,An aerial image. It shows: Fenced dog park area for leisure land.,/data/tessera_dataset/image-emb-text/images4/a507429536_US_19.jpg,-82.20256873224045,33.45685824919387
gated_highres,skatepark,2,0.553607702255249,n8815466992_CH_20,An aerial image. It shows: Fountain.,/data/tessera_dataset/image-emb-text/images4/n8815466992_CH_20.jpg,6.946054870939031,46.27028666735012
gated_highres,skatepark,3,0.553607702255249,a414531465_US_19,An aerial image. It shows: Parking area with asphalt surface.,/data/tessera_dataset/image-emb-text/images6/a414531465_US_19.jpg,-84.45359636594645,33.87022937341246
gated_highres,skatepark,4,0.553607702255249,a949525680_US_21,An aerial image. It shows: Park.,/data/tessera_dataset/image-emb-text/images7/a949525680_US_21.jpg,-111.78318145,33.26473515
gated_highres,skatepark,5,0.553607702255249,n370382903_CH_20,An aerial image. It shows: Bench.,/data/tessera_dataset/image-emb-text/images6/n370382903_CH_20.jpg,6.83978204915149,46.459320104446434
gated_highres,skatepark,6,0.553607702255249,n8864584656_US_22,An aerial image. It shows: Parking space.,/data/tessera_dataset/image-emb-text/images5/n8864584656_US_22.jpg,-87.2863229752667,30.39920187502782
gated_highres,skatepark,7,0.553607702255249,n6434384517_CH_20,An aerial image. It shows: Bicycle rental facility.,/data/tessera_dataset/image-emb-text/images3/n6434384517_CH_20.jpg,7.359022037668687,46.22669013573921
gated_highres,skatepark,8,0.553607702255249,w1080853226_US_20,An aerial image. It shows: Miniature railway.,/data/tessera_dataset/image-emb-text/images6/w1080853226_US_20.jpg,-103.6139428,43.7617938
gated_highres,skatepark,9,0.553607702255249,n3619561712_CH_20,An aerial image. It shows: Bicycle parking area with wall loops.,/data/tessera_dataset/image-emb-text/images3/n3619561712_CH_20.jpg,6.822624440478624,46.468977291752566
gated_highres,skatepark,10,0.553607702255249,n370382905_CH_20,An aerial image. It shows: Bench.,/data/tessera_dataset/image-emb-text/images5/n370382905_CH_20.jpg,6.839749732141555,46.459290932709706
gated_highres,skatepark,11,0.553607702255249,w729228227_US_20,An aerial image. It shows: Raceway for motor karting enthusiasts.,/data/tessera_dataset/image-emb-text/images2/w729228227_US_20.jpg,-121.97005983832027,37.39422384059411
gated_highres,skatepark,12,0.553607702255249,a1095115558_US_21,An aerial image. It shows: Rest area on the road.,/data/tessera_dataset/image-emb-text/images4/a1095115558_US_21.jpg,-82.33606823133962,33.49804370230049
