system,query,rank,gate_global_weight,sample_id,source_title,image_path,center_lon,center_lat
gated_highres,container ship,1,0.5933382511138916,w8367362_FI_20,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images6/w8367362_FI_20.jpg,24.972219974619247,60.17586929007448
gated_highres,container ship,2,0.5933382511138916,n1473516583_CH_20,An aerial image. It shows: Railway level crossing.,/data/tessera_dataset/image-emb-text/images2/n1473516583_CH_20.jpg,6.5618113,46.5452069
gated_highres,container ship,3,0.5933382511138916,w859868814_US_20,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images3/w859868814_US_20.jpg,-124.18164969562714,41.74415813173292
gated_highres,container ship,4,0.5933382511138916,w533240511_US_17,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images6/w533240511_US_17.jpg,-81.07846818408967,32.07829643954712
gated_highres,container ship,5,0.5933382511138916,w490595651_US_20,An aerial image. It shows: Rail spur service.,/data/tessera_dataset/image-emb-text/images5/w490595651_US_20.jpg,-121.85002425278047,38.02383179640378
gated_highres,container ship,6,0.5933382511138916,n9355893940_US_21,An aerial image. It shows: Intermodal railway yard.,/data/tessera_dataset/image-emb-text/images5/n9355893940_US_21.jpg,-87.69328021894763,41.75327271785767
gated_highres,container ship,7,0.5933382511138916,w824137667_CH_20,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images6/w824137667_CH_20.jpg,6.6932394,47.0644382
gated_highres,container ship,8,0.5933382511138916,w80513453_US_21,An aerial image. It shows: Floating barrier on the waterway.,/data/tessera_dataset/image-emb-text/images3/w80513453_US_21.jpg,-85.08465700508145,35.231109578427784
gated_highres,container ship,9,0.5933382511138916,w238131171_US_19,An aerial image. It shows: Man-made pier.,/data/tessera_dataset/image-emb-text/images5/w238131171_US_19.jpg,-122.3582331,47.5818574
gated_highres,container ship,10,0.5933382511138916,a539950410_US_17,An aerial image. It shows: Breakwater structure.,/data/tessera_dataset/image-emb-text/images4/a539950410_US_17.jpg,-114.77312311459382,36.03194642430424
gated_highres,container ship,11,0.5933382511138916,a779832897_US_19,An aerial image. It shows: Building identified as silo.,/data/tessera_dataset/image-emb-text/images5/a779832897_US_19.jpg,-93.33232107304943,44.784057054043686
